timestamp_sample,x_position,y_position,pupil_area_normalized,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
0.026,1194,1538,0.895,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.027,1194,1536,0.895,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.028,1196,1534,0.895,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.029,1196,1529,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.03,1196,1527,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.031,1196,1522,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.032,1194,1520,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.033,1193,1517,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.034,1191,1515,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.035,1191,1514,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.036,1190,1514,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.037,1189,1514,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.038,1189,1515,0.896,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.039,1187,1515,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.04,1187,1517,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.041,1187,1518,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.042,1186,1520,0.898,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.043,1186,1521,0.898,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.044,1186,1521,0.898,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.045,1187,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.046,1187,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.047,1189,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.048,1189,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.049,1189,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.05,1190,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.051,1190,1520,0.899,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.052,1189,1521,0.898,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.053,1189,1521,0.898,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.054,1187,1521,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.055,1186,1521,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
0.056,1186,1521,0.897,115,115,1.0002,0.50012,0,0,2544,3056,1021,0,2819,2160
